Deletions;5' breakpoint;3' breakpoint;Deletion length - bp;Deletion of replication origins;Location of the deleted region;Single mtDNA deletions;Multiple mtDNA deletions;Healthy tissues;Parkinson Disease;Inclusion Body Myositis;Tumour;Other clinical features;References
7322:15239;7322;15239;7916;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7323:15056;7323;15056;7732;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7323:15435;7323;15435;8111;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7329:14531;7329;14531;7201;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7331:15946;7331;15946;8614;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7331:13249;7331;13249;5917;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7337:14931;7337;14931;7593;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7338:14598;7338;14598;7259;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7347:14245;7347;14245;6897;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7350:16071;7350;16071;8720;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7360:15276;7360;15276;7915;None;Inside the major arc;;ad-PEO;;;;;Ptosis; Proximal limb weakness;[15]
7366:14060;7366;14060;6693;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7367:12063;7367;12063;4695;None;Inside the major arc;;Multiple deletion patient (POL(...);;;;;PEO, Parkinson;[33]
7367:16072;7367;16072;8704;None;Inside the major arc;;ad/ar-PEO; ad/ar-PEO (POLGmut);;;;;Ptosis; Proximal limb weakness;[15; 286]
7367:15760;7367;15760;8392;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7370:16072;7370;16072;8701;None;Inside the major arc;;Mitochondrial myopathy (ad);;;;;;[15]
7370:16073;7370;16073;8702;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7372:13239;7372;13239;5866;None;Inside the major arc;;;Controls;;;;;[20]
7374:15957;7374;15957;8582;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7387:15930;7387;15930;8542;None;Inside the major arc;;ad/ar-PEO (TWINKLEdup);;;;;;[286]
7396:13118;7396;13118;5721;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7399:15383;7399;15383;7983;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7399:15405;7399;15405;8005;None;Inside the major arc;;;Sublimons;;;;;[23]
7400:14290;7400;14290;6889;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7401:16068;7401;16068;8666;None;Inside the major arc;;ad/ar-PEO (TWINKLEdup); ad/ar-(...);;;;;;[286]
7401:16074;7401;16074;8672;None;Inside the major arc;;ad/ar-PEO; ad/ar-PEO (POLGmut)(...);;;;;Proximal limb weakness; Chroni(...);[15; 286]
7402:13677;7402;13677;6274;None;Inside the major arc;;;Aged tissues;;;;;[9]
7402:15128;7402;15128;7725;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7402:15372;7402;15372;7969;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7402:16068;7402;16068;8665;None;Inside the major arc;;ad/ar-PEO (TWINKLEdup); ad/ar-(...);;;;;;[286]
7402:16071;7402;16071;8668;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7402:16072;7402;16072;8669;None;Inside the major arc;;ad/ar-PEO; ad/ar-PEO (TWINKLEd(...);;;;;Ataxia;[15; 286]
7402:16073;7402;16073;8670;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7402:16076;7402;16076;8673;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7403:12392;7403;12392;4988;None;Inside the major arc;;;Aged tissues;;;;;[9]
7403:16075;7403;16075;8671;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7403:16078;7403;16078;8674;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7404:16080;7404;16080;8675;None;Inside the major arc;;ad/ar-PEO (TWINKLEdup); ad/ar-(...);;;;;;[286]
7406:14560;7406;14560;7153;None;Inside the major arc;;ad/ar-PEO (POLGmut);Aged tissues;;;;;[9; 286]
7407:12396;7407;12396;4988;None;Inside the major arc;;Multiple deletion patient (POL(...);Aged tissues;;;;PEO, Parkinson;[9; 33]
7407:13620;7407;13620;6212;None;Inside the major arc;PEO;;;;;;;[26]
7409:13688;7409;13688;6278;None;Inside the major arc;;;Aged tissues;Parkinson Disease;;;;[14; 33]
7410:13688;7410;13688;6277;None;Inside the major arc;;;Aged tissues;Parkinson Disease;;;;[114]
7414:14568;7414;14568;7153;None;Inside the major arc;;;Aged tissues;;;;;[9]
7414:15609;7414;15609;8194;None;Inside the major arc;;Multiple deletion patient (POL(...);;;;;PEO, Parkinson;[33]
7428:13415;7428;13415;5986;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7429:14895;7429;14895;7465;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7431:15093;7431;15093;7661;None;Inside the major arc;;Mitochondrial myopathy (ad);;;;;;[15]
7439:13477;7439;13477;6037;None;Inside the major arc;;;;;;;Mitochondrial encephalomyopath(...);[47]
7440:15882;7440;15882;8441;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7443:13468;7443;13468;6024;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7448:13451;7448;13451;6002;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7448:13475;7448;13475;6026;None;Inside the major arc;PEO;;;;;;;[44]
7449:15167;7449;15167;7717;None;Inside the major arc;;Mitochondrial myopathy;;;;;Proximal limb weakness; Chroni(...);[15]
7449:15926;7449;15926;8476;None;Inside the major arc;KSS; PEO;;;;;;;[11; 15]
7450:15378;7450;15378;7927;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7452:12263;7452;12263;4810;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7452:13723;7452;13723;6270;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7453:13487;7453;13487;6033;None;Inside the major arc;;;Controls;;;;;[20]
7453:13644;7453;13644;6190;None;Inside the major arc;;;Controls;;;;;[20]
7453:15435;7453;15435;7981;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7460:11847;7460;11847;4386;None;Inside the major arc;;Multiple deletion patient (POL(...);;;;;PEO, Parkinson;[33]
7461:12977;7461;12977;5515;None;Inside the major arc;;;;;;;Crohn's disease;[20]
7462:16071;7462;16071;8608;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7465:11426;7465;11426;3960;None;Inside the major arc;;;Aged tissues;;;;;[6]
7469:14285;7469;14285;6815;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7470:16074;7470;16074;8603;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7471:16073;7471;16073;8601;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[167]
7472:14814;7472;14814;7341;None;Inside the major arc;;Mitochondrial myopathy (ad);;;;;;[15]
7477:15998;7477;15998;8520;None;Inside the major arc;;;Aged tissues;;;;;[14]
7479:11440;7479;11440;3960;None;Inside the major arc;;;Aged tissues;;;;;[9]
7487:14414;7487;14414;6926;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322]
7489:13349;7489;13349;5859;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7491:11004;7491;11004;3512;None;Inside the major arc;KSS; PEO;;;;;;Complex I deficiency;[11; 154; 265]
7493:13985;7493;13985;6491;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7494:12763;7494;12763;5268;None;Inside the major arc;;;;;;;Incomplete KSS;[109]
7494:16073;7494;16073;8578;None;Inside the major arc;;ad/ar-PEO (TWINKLEdup);;;;;;[286]
7494:14422;7494;14422;6927;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7495:15439;7495;15439;7943;None;Inside the major arc;;Mitochondrial myopathy (ad);;;;;;[15]
7502:15125;7502;15125;7622;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7506:14433;7506;14433;6926;None;Inside the major arc;KSS;;Aged tissues;;;;;[6; 40; 326]
7508:15939;7508;15939;8430;None;Inside the major arc;KSS;;Sublimons;;;;;[23; 26]
7515:13800;7515;13800;6284;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
7517:13096;7517;13096;5578;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7517:14598;7517;14598;7080;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
7521:16071;7521;16071;8549;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7524:13395;7524;13395;5870;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7527:16065;7527;16065;8537;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7529:13474;7529;13474;5944;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7539:15237;7539;15237;7697;None;Inside the major arc;;;Aged tissues;;;;;[290]
7539:15913;7539;15913;8373;None;Inside the major arc;;;;;;;Ulcerative colitis;[20]
7547:13475;7547;13475;5927;None;Inside the major arc;PEO;;;;;;;[296]
7553:13546;7553;13546;5992;None;Inside the major arc;;;Controls;;;;;[20]
7562:15381;7562;15381;7818;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7563:13724;7563;13724;6160;None;Inside the major arc;;;;;;;Crohn's disease;[20]
7563:14972;7563;14972;7408;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7596:14863;7596;14863;7266;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7596:15733;7596;15733;8136;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7616:14948;7616;14948;7331;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
7623:15036;7623;15036;7412;None;Inside the major arc;;ad-PEO;;;;;;[279]
7626:8196;7626;8196;569;None;Inside the major arc;;;;;;Thyroid tumor;;[49]
7627:11299;7627;11299;3671;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[319]
7629:14813;7629;14813;7183;None;Inside the major arc;;;Aged tissues;;;;;[33]
7629:16072;7629;16072;8442;None;Inside the major arc;;;Sublimons;;;;;[23]
7632:8206;7632;8206;573;None;Inside the major arc;;;;;;Thyroid tumor;;[49]
7633:13955;7633;13955;6321;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7635:15310;7635;15310;7674;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
7635:15440;7635;15440;7804;None;Inside the major arc;KSS;;;;;;Lowe Syndrome;[141]
7638:15916;7638;15916;8277;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7643:15710;7643;15710;8066;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7644:16071;7644;16071;8426;None;Inside the major arc;;;Sublimons;;;;;[23]
7656:15292;7656;15292;7635;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7662:15552;7662;15552;7889;None;Inside the major arc;;;Aged tissues;;;;;[33]
7667:14359;7667;14359;6691;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
7667:16071;7667;16071;8403;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7667:16072;7667;16072;8404;None;Inside the major arc;;;Sublimons;;;;;[23]
7667:16069;7667;16069;8401;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7668:16075;7668;16075;8406;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7669:13810;7669;13810;6140;None;Inside the major arc;;;Aged tissues;;;;;[14]
7669:15437;7669;15437;7767;None;Inside the major arc;KSS; PEO;;;;;;Evolution from PS; Sideroblast(...);[11; 155; 265]
7669:16072;7669;16072;8402;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7670:13427;7670;13427;5756;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7671:16071;7671;16071;8399;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7676:15398;7676;15398;7721;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7677:15013;7677;15013;7335;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
7682:13722;7682;13722;6039;None;Inside the major arc;;;Aged tissues;;;;;[14]
7694:14053;7694;14053;6358;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7694:15387;7694;15387;7692;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
7695:13107;7695;13107;5411;None;Inside the major arc;;;;;;;Crohn's disease;[20]
7696:12365;7696;12365;4668;None;Inside the major arc;KSS;;;;;;;[34]
7696:13987;7696;13987;6290;None;Inside the major arc;;;Aged tissues;;;;;[32]
7697:12364;7697;12364;4666;None;Inside the major arc;KSS;;;;;;Mitochondrial myopathy;[34; 108]
7705:15945;7705;15945;8239;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7719:16053;7719;16053;8333;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7723:14108;7723;14108;6384;None;Inside the major arc;;;Aged tissues;;;;;[9]
7723:14110;7723;14110;6386;None;Inside the major arc;;;Aged tissues;;;;;[9]
7728:13806;7728;13806;6077;None;Inside the major arc;;;Aged tissues;;;;;[14]
7730:15831;7730;15831;8100;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[326; 330]
7733:16073;7733;16073;8339;None;Inside the major arc;;;Sublimons;;;;;[23]
7737:15605;7737;15605;7867;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7747:15854;7747;15854;8106;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7753:13349;7753;13349;5595;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
7755:15236;7755;15236;7480;None;Inside the major arc;;Mitochondrial myopathy (ad);;;;;;[15]
7756:16072;7756;16072;8315;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7762:15078;7762;15078;7315;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7775:13532;7775;13532;5756;None;Inside the major arc;;;Aged tissues;;;;;[163]
7775:16072;7775;16072;8296;None;Inside the major arc;;Mitochondrial myopathy (ad);;;;;;[15]
7775:16071;7775;16071;8295;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7777:13533;7777;13533;5755;None;Inside the major arc;;;Aged tissues;;;;;[324]
7777:13794;7777;13794;6016;None;Inside the major arc;PS;;;;;;;[117]
7779:16071;7779;16071;8291;None;Inside the major arc;;ad-PEO;;;;;Ptosis; Proximal limb weakness;[15]
7792:14181;7792;14181;6388;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7794:12561;7794;12561;4766;None;Inside the major arc;;;;;;;Hearts exposed to doxorubicin;[159]
7795:15287;7795;15287;7491;None;Inside the major arc;;ad-PEO;;;;;Ptosis; Proximal limb weakness;[15]
7795:16073;7795;16073;8277;None;Inside the major arc;;ad-PEO; Mitochondrial myopathy;;;;;Peripheral myopathy;[7; 284; 285]
7804:13795;7804;13795;5990;None;Inside the major arc;;;Controls;;;;Ulcerative colitis;[20]
7805:13844;7805;13844;6038;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
7805:13997;7805;13997;6191;None;Inside the major arc;;;;;;;;[326]
7808:12388;7808;12388;4579;None;Inside the major arc;;;Aged tissues;;;;;[32]
7811:16071;7811;16071;8259;None;Inside the major arc;;;Sublimons;;;;;[23]
7813:16077;7813;16077;8263;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7814:14805;7814;14805;6990;None;Inside the major arc;;;Aged tissues;;;;Diffuse leukodystrophy; Major (...);[33; 275; 326; 330]
7814:12232;7814;12232;4417;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
7815:13581;7815;13581;5765;None;Inside the major arc;;;Aged tissues;;;;;[33]
7817:14536;7817;14536;6718;None;Inside the major arc;;;;;;;Ragged Red Fibers; Strokes; LS;[131]
7817:16071;7817;16071;8253;None;Inside the major arc;;ad/ar-PEO; ad/ar-PEO (POLGmut)(...);;;;;Proximal limb weakness; other (...);[15; 167; 286]
7817:16072;7817;16072;8254;None;Inside the major arc;;ad/ar-PEO (POLGmut); Patients (...);;;;;;[286; 327]
7817:16074;7817;16074;8256;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7818:16075;7818;16075;8256;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7818:16077;7818;16077;8258;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7819:16070;7819;16070;8250;None;Inside the major arc;;ad/ar-PEO; ad/ar-PEO (POLGmut)(...);;;;;;[167; 286]
7819:16077;7819;16077;8257;None;Inside the major arc;;ad/ar-PEO;Aged tissues;;;;;[14; 15]
7820:16074;7820;16074;8253;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7821:13760;7821;13760;5938;None;Inside the major arc;;;Aged tissues;;;;;[33]
7821:16072;7821;16072;8250;None;Inside the major arc;;Mitochondrial myopathy;;;;;Proximal limb weakness; Chroni(...);[15]
7821:16073;7821;16073;8251;None;Inside the major arc;;ad/ar-PEO; ad/ar-PEO (POLGmut)(...);;;;;Ptosis; Proximal limb weakness(...);[15; 33; 167; 286]
7822:15297;7822;15267;7444;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7823:15389;7823;15389;7565;None;Inside the major arc;PEO;;;;;;;[40; 265; 326]
7824:16077;7824;16077;8252;None;Inside the major arc;;ad/ar-PEO; ad/ar-PEO (POLGmut)(...);Sublimons;;;;;[23; 167; 286; 327]
7828:13385;7828;13385;5556;None;Inside the major arc;KSS;;;;;;;[18]
7829:14135;7829;14135;6305;None;Inside the major arc;;;;;;;Multiple Sclerosis; Ragged Red(...);[128]
7835:15207;7835;15207;7371;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7841:13905;7841;13905;6063;None;Inside the major arc;;;Aged tissues;;;;;[120-122; 210]
7842:13904;7842;13904;6061;None;Inside the major arc;;;Aged tissues;;;;;[324]
7845:15761;7845;15761;7915;None;Inside the major arc;;ad-PEO;;;;;;[279]
7846:9749;7846;9749;1902;None;Inside the major arc;PEO; KSS;;Myoblasts;;;;;[40; 160; 161]
7846:15606;7846;15606;7759;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7850:13474;7850;13474;5623;None;Inside the major arc;;;Aged tissues;;;;;[9]
7853:13887;7853;13887;6033;None;Inside the major arc;;;Aged tissues;;;;;[14]
7857:12283;7857;12283;4425;None;Inside the major arc;;;Aged tissues;;;;;[9]
7862:14598;7862;14598;6735;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
7864:15408;7864;15408;7543;None;Inside the major arc;PEO;Mitochondrial myopathy;;;;;;[322]
7867:15621;7867;15621;7753;None;Inside the major arc;;;;;;;Major Depressive Disorder;[326]
7868:15545;7868;15545;7676;None;Inside the major arc;PEO;;;;;;Multiple sclerosis;[320]
7868:15387;7868;15387;7518;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[326; 330]
7869:13455;7869;13455;5585;None;Inside the major arc;KSS;;;;;;;[322; 326]
7869:16069;7869;16069;8199;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7869:16076;7869;16076;8206;None;Inside the major arc;;Mitochondrial myopathy;;;;;Ptosis; Proximal limb weakness(...);[15]
7870:16076;7870;16076;8205;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[167]
7872:15416;7872;15416;7543;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7874:9156;7874;9156;1281;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7885:15698;7885;15698;7812;None;Inside the major arc;KSS;;;;;;;[302]
7889:15435;7889;15435;7545;None;Inside the major arc;PEO;;;;;;;[140]
7891:14951;7891;14951;7059;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7899:15642;7899;15642;7742;None;Inside the major arc;;Mitochondrial myopathy;Aged tissues;;;;Peripheral myopathy;[7]
7904:16285;7904;16285;8380;None;Inside the major arc;;;;;;;Chronic uremia;[38]
7912:9560;7912;9560;1647;None;Inside the major arc;;;Aged tissues;;;;;[14]
7914:16070;7914;16070;8155;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[167]
7915:16276;7915;16276;8360;None;Inside the major arc;;;;;;;Chronic uremia;[38]
7919:16072;7919;16072;8152;None;Inside the major arc;;ad/ar-PEO;;;;;Ataxia;[15]
7920:16078;7920;16078;8157;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[167]
7921:16072;7921;16072;8150;None;Inside the major arc;;ad-PEO; Mitochondrial myopathy(...);Sublimons;;;;Peripheral myopathy;[7; 23; 167; 284-285; 327]
7921:16080;7921;16080;8158;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[25; 167]
7921:16283;7921;16283;8361;None;Inside the major arc;;;;;;;Chronic uremia;[38]
7922:16075;7922;16075;8152;None;Inside the major arc;;Mitochondrial myopathy;;;;;Proximal limb weakness; Chroni(...);[15]
7923:11423;7923;11423;3499;None;Inside the major arc;;;Aged tissues;;;;;[6]
7923:16075;7923;16075;8151;None;Inside the major arc;;Mitochondrial myopathy;;;;;Chronic uremia;[38; 167]
7931:15761;7931;15761;7829;None;Inside the major arc;;ad-PEO;;;;;;[279]
7933:15604;7933;15604;7670;None;Inside the major arc;;;Aged tissues;;;;;[290]
7945:16073;7945;16073;8127;None;Inside the major arc;;Mitochondrial myopathy (ad);;;;;;[15]
7945:16074;7945;16074;8128;None;Inside the major arc;;ad-PEO;;;;;;[176]
7945:13906;7945;13906;5960;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7945:15540;7945;15540;7594;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
7949:14315;7949;14315;6365;None;Inside the major arc;KSS;;;;;;;[26]
7958:15927;7958;15927;7968;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
7959:13787;7959;13787;5827;None;Inside the major arc;;;Aged tissues;;;;;[163]
7960:13786;7960;13786;5825;None;Inside the major arc;;;Aged tissues;;;;;[324]
7961:13374;7961;13374;5412;None;Inside the major arc;;;Aged tissues;;;;;[14]
7962:16020;7962;16020;8057;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
7964:12432;7964;12432;4467;None;Inside the major arc;;;;;;;Hearts exposed to doxorubicin;[159]
7967:11312;7967;11312;3344;None;Inside the major arc;;sideroblastic anemia/mitochond(...);;;;;Mild pancreatic insufficiency (...);[277]
7973:15495;7973;15495;7521;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7978:16072;7978;16072;8093;None;Inside the major arc;;ad/ar-PEO;;;;;Ptosis; Ataxia; other neurolog(...);[15]
7982:15504;7982;15504;7521;None;Inside the major arc;KSS; PEO;Mitochondrial myopathy;;;;;MELAS; Ptosis; Proximal limb w(...);[15; 40; 42; 43; 265; 326; 330(...)
7982:16072;7982;16072;8089;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7983:15504;7983;15504;7520;None;Inside the major arc;KSS;;;;;;;[302]
7985:16073;7985;16073;8087;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
7988:16072;7988;16072;8083;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7989:15435;7989;15435;7445;None;Inside the major arc;PEO;;;;;;;[140]
7990:16068;7990;16068;8077;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[167]
7990:16078;7990;16078;8087;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
7991:16070;7991;16070;8078;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[167]
7991:16073;7991;16073;8081;None;Inside the major arc;;Mitochondrial myopathy;;;;;Hippocampal tissue of patients(...);[167; 330]
7992:15730;7992;15730;7737;None;Inside the major arc;;;Aged tissues;;;;;[163]
7992:16072;7992;16072;8079;None;Inside the major arc;;ad-PEO;;;;;;[176]
7993:15729;7993;15729;7735;None;Inside the major arc;;;Aged tissues;;;;;[324]
7995:15213;7995;15213;7217;None;Inside the major arc;;ad/ar-PEO;;;;;Ptosis; Proximal limb weakness(...);[15]
7996:13999;7996;13999;6002;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7997:15439;7997;15439;7441;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322]
7997:15568;7997;15568;7570;None;Inside the major arc;;ad-PEO;;;;;Ptosis; Proximal limb weakness;[15]
7997:15060;7997;15060;7062;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
7998:12300;7998;12300;4301;None;Inside the major arc;;Multiple deletion patient (POL(...);;;;;PEO, Parkinson;[33]
8011:13722;8011;13722;5710;None;Inside the major arc;PS;;;;;;;[328]
8019:15519;8019;15519;7499;None;Inside the major arc;;Mitochondrial myopathy;;;;;Proximal limb weakness; Chroni(...);[15]
8021:14162;8021;14162;6140;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8030:16070;8030;16070;8039;None;Inside the major arc;;Mitochondrial myopathy;;;;;Skeletal muscle biopsies and �(...);[167; 329]
8030:16075;8030;16075;8044;None;Inside the major arc;;;Aged tissues;;;;Chronic uremia;[38; 163]
8030:16078;8030;16078;8047;None;Inside the major arc;;;Aged tissues;;;;;[25; 282]
8031:14564;8031;14564;6532;None;Inside the major arc;;;Aged tissues;;;;;[32]
8031:16070;8031;16070;8038;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
8031:16074;8031;16074;8042;None;Inside the major arc;;ad-PEO;;;;;;[25; 176]
8031:16077;8031;16077;8045;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
8031:16356;8031;16356;8324;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
8032:12300;8032;12300;4267;None;Inside the major arc;;;;;;;Hearts exposed to doxorubicin;[159]
8032:16069;8032;16069;8036;None;Inside the major arc;;;;;Inclusion body myositis;;;[24; 25]
8032:16071;8032;16071;8038;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
8032:16072;8032;16072;8039;None;Inside the major arc;;ad/ar-PEO; ad/ar-PEO (POLGmut);;;Inclusion body myositis;;;[24; 286]
8032:16073;8032;16073;8040;None;Inside the major arc;;ad-PEO; Mitochondrial myopathy;Aged tissues;;Inclusion body myositis;;;[24; 167; 176; 283]
8032:16075;8032;16075;8042;None;Inside the major arc;;ad-PEO;Aged tissues;;Inclusion body myositis;;;[24; 176; 289]
8033:14337;8033;14337;6303;None;Inside the major arc;;;Aged tissues;;;;;[14]
8033:16071;8033;16071;8037;None;Inside the major arc;;ad-PEO;Aged tissues; Sublimons;;Inclusion body myositis;;;[23-25; 176]
8033:16078;8033;16078;8044;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8033:15547;8033;15547;7513;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
8034:11423;8034;11423;3388;None;Inside the major arc;;;;;;;Hearts exposed to doxorubicin;[159]
8034:11434;8034;11434;3399;None;Inside the major arc;;;Aged tissues;Parkinson Disease;;;;[6; 33]
8034:15882;8034;15882;7847;None;Inside the major arc;;;;;Inclusion body myopathy (ad);;;[22]
